Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['C7orf26+ctrl' 'C14orf178+ctrl' 'RPS10-NUDT3+ctrl' 'SEM1+ctrl' 'FAU+ctrl']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:0
combo_seen1:0
combo_seen2:0
unseen_single:272
Done!
Creating dataloaders....
Done!
Found local GO graph CSV...
Start Training...
Epoch 3 Step 101 Train Loss: 0.5344
Epoch 3 Step 151 Train Loss: 0.5840
Epoch 3 Step 201 Train Loss: 0.6290
Epoch 3 Step 251 Train Loss: 0.6260
Epoch 3 Step 301 Train Loss: 0.5940
Epoch 3 Step 351 Train Loss: 0.4966
Epoch 3 Step 401 Train Loss: 0.5164
Epoch 3 Step 451 Train Loss: 0.5581
Epoch 3 Step 501 Train Loss: 0.5121
Epoch 3 Step 551 Train Loss: 0.5665
Epoch 3 Step 601 Train Loss: 0.5701
Epoch 3 Step 651 Train Loss: 0.5466
Epoch 3 Step 701 Train Loss: 0.5450
Epoch 3 Step 751 Train Loss: 0.6150
Epoch 3 Step 801 Train Loss: 0.6530
Epoch 3 Step 851 Train Loss: 0.6545
Epoch 3 Step 901 Train Loss: 0.5972
Epoch 3 Step 951 Train Loss: 0.6363
Epoch 3 Step 1001 Train Loss: 0.5778
Epoch 3 Step 1051 Train Loss: 0.6421
Epoch 3 Step 1101 Train Loss: 0.6106
Epoch 3 Step 1151 Train Loss: 0.5965
Epoch 3 Step 1201 Train Loss: 0.6045
Epoch 3 Step 1251 Train Loss: 0.5663
Epoch 3 Step 1301 Train Loss: 0.5653
Epoch 3 Step 1351 Train Loss: 0.5668
Epoch 3 Step 1401 Train Loss: 0.5704
Epoch 3 Step 1451 Train Loss: 0.5461
Epoch 3 Step 1501 Train Loss: 0.5497
Epoch 3 Step 1551 Train Loss: 0.5333
Epoch 3 Step 1601 Train Loss: 0.5893
Epoch 3 Step 1651 Train Loss: 0.5626
Epoch 3 Step 1701 Train Loss: 0.6276
Epoch 3 Step 1751 Train Loss: 0.5330
Epoch 3 Step 1801 Train Loss: 0.6669
Epoch 3 Step 1851 Train Loss: 0.6340
Epoch 3 Step 1901 Train Loss: 0.5310
Epoch 3 Step 1951 Train Loss: 0.5864
Epoch 3 Step 2001 Train Loss: 0.5643
Epoch 3 Step 2051 Train Loss: 0.5535
Epoch 3 Step 2101 Train Loss: 0.6115
Epoch 3 Step 2151 Train Loss: 0.6048
Epoch 3 Step 2201 Train Loss: 0.5927
Epoch 3 Step 2251 Train Loss: 0.5478
Epoch 3 Step 2301 Train Loss: 0.6034
Epoch 3 Step 2351 Train Loss: 0.5348
Epoch 3 Step 2401 Train Loss: 0.5688
Epoch 3 Step 2451 Train Loss: 0.6371
Epoch 3 Step 2501 Train Loss: 0.5626
Epoch 3 Step 2551 Train Loss: 0.6224
Epoch 3 Step 2601 Train Loss: 0.6810
Epoch 3 Step 2651 Train Loss: 0.6404
Epoch 3 Step 2701 Train Loss: 0.5973
Epoch 3 Step 2751 Train Loss: 0.5460
Epoch 3 Step 2801 Train Loss: 0.5607
Epoch 3 Step 2851 Train Loss: 0.6038
Epoch 3 Step 2901 Train Loss: 0.5009
Epoch 3 Step 2951 Train Loss: 0.5635
Epoch 3 Step 3001 Train Loss: 0.5884
Epoch 3 Step 3051 Train Loss: 0.5585
Epoch 3 Step 3101 Train Loss: 0.6386
Epoch 3 Step 3151 Train Loss: 0.5248
Epoch 3 Step 3201 Train Loss: 0.5805
Epoch 3 Step 3251 Train Loss: 0.5631
Epoch 3 Step 3301 Train Loss: 0.4947
Epoch 3 Step 3351 Train Loss: 0.6113
Epoch 3 Step 3401 Train Loss: 0.6081
Epoch 3 Step 3451 Train Loss: 0.5697
Epoch 3 Step 3501 Train Loss: 0.5629
Epoch 3: Train Overall MSE: 0.0067 Validation Overall MSE: 0.0085. 
Train Top 20 DE MSE: 0.0796 Validation Top 20 DE MSE: 0.1446. 
Epoch 4 Step 1 Train Loss: 0.5751
Epoch 4 Step 51 Train Loss: 0.6590
Epoch 4 Step 101 Train Loss: 0.6300
Epoch 4 Step 151 Train Loss: 0.6299
Epoch 4 Step 201 Train Loss: 0.5650
Epoch 4 Step 251 Train Loss: 0.5719
Epoch 4 Step 301 Train Loss: 0.6095
Epoch 4 Step 351 Train Loss: 0.5484
Epoch 4 Step 401 Train Loss: 0.5214
Epoch 4 Step 451 Train Loss: 0.5691
Epoch 4 Step 501 Train Loss: 0.5004
Epoch 4 Step 551 Train Loss: 0.6048
Epoch 4 Step 601 Train Loss: 0.5767
Epoch 4 Step 651 Train Loss: 0.6447
Epoch 4 Step 701 Train Loss: 0.5845
Epoch 4 Step 751 Train Loss: 0.5948
Epoch 4 Step 801 Train Loss: 0.5942
Epoch 4 Step 851 Train Loss: 0.6050
Epoch 4 Step 901 Train Loss: 0.5464
Epoch 4 Step 951 Train Loss: 0.6181
Epoch 4 Step 1001 Train Loss: 0.6135
Epoch 4 Step 1051 Train Loss: 0.6247
Epoch 4 Step 1101 Train Loss: 0.5575
Epoch 4 Step 1151 Train Loss: 0.6929
Epoch 4 Step 1201 Train Loss: 0.5437
Epoch 4 Step 1251 Train Loss: 0.6550
Epoch 4 Step 1301 Train Loss: 0.5970
Epoch 4 Step 1351 Train Loss: 0.5964
Epoch 4 Step 1401 Train Loss: 0.5877
Epoch 4 Step 1451 Train Loss: 0.5602
Epoch 4 Step 1501 Train Loss: 0.5649
Epoch 4 Step 1551 Train Loss: 0.5212
Epoch 4 Step 1601 Train Loss: 0.6259
Epoch 4 Step 1651 Train Loss: 0.6323
Epoch 4 Step 1701 Train Loss: 0.5681
Epoch 4 Step 1751 Train Loss: 0.5832
Epoch 4 Step 1801 Train Loss: 0.6389
Epoch 4 Step 1851 Train Loss: 0.6222
Epoch 4 Step 1901 Train Loss: 0.5879
Epoch 4 Step 1951 Train Loss: 0.6281
Epoch 4 Step 2001 Train Loss: 0.6288
Epoch 4 Step 2051 Train Loss: 0.5362
Epoch 4 Step 2101 Train Loss: 0.5872
Epoch 4 Step 2151 Train Loss: 0.6668
Epoch 4 Step 2201 Train Loss: 0.5599
Epoch 4 Step 2251 Train Loss: 0.5755
Epoch 4 Step 2301 Train Loss: 0.6107
Epoch 4 Step 2351 Train Loss: 0.5359
Epoch 4 Step 2401 Train Loss: 0.5876
Epoch 4 Step 2451 Train Loss: 0.5741
Epoch 4 Step 2501 Train Loss: 0.5462
Epoch 4 Step 2551 Train Loss: 0.6258
Epoch 4 Step 2601 Train Loss: 0.5933
Epoch 4 Step 2651 Train Loss: 0.5421
Epoch 4 Step 2701 Train Loss: 0.5652
Epoch 4 Step 2751 Train Loss: 0.5009
Epoch 4 Step 2801 Train Loss: 0.5520
Epoch 4 Step 2851 Train Loss: 0.5195
Epoch 4 Step 2901 Train Loss: 0.6076
Epoch 4 Step 2951 Train Loss: 0.6061
Epoch 4 Step 3001 Train Loss: 0.5806
Epoch 4 Step 3051 Train Loss: 0.5750
Epoch 4 Step 3101 Train Loss: 0.5333
Epoch 4 Step 3151 Train Loss: 0.5436
Epoch 4 Step 3201 Train Loss: 0.5153
Epoch 4 Step 3251 Train Loss: 0.6136
Epoch 4 Step 3301 Train Loss: 0.6132
Epoch 4 Step 3351 Train Loss: 0.5666
Epoch 4 Step 3401 Train Loss: 0.5947
Epoch 4 Step 3451 Train Loss: 0.6244
Epoch 4 Step 3501 Train Loss: 0.6117
Epoch 4: Train Overall MSE: 0.0065 Validation Overall MSE: 0.0084. 
Train Top 20 DE MSE: 0.0739 Validation Top 20 DE MSE: 0.1433. 
Epoch 5 Step 1 Train Loss: 0.6288
Epoch 5 Step 51 Train Loss: 0.6636
Epoch 5 Step 101 Train Loss: 0.5377
Epoch 5 Step 151 Train Loss: 0.5477
Epoch 5 Step 201 Train Loss: 0.5831
Epoch 5 Step 251 Train Loss: 0.5935
Epoch 5 Step 301 Train Loss: 0.5889
Epoch 5 Step 351 Train Loss: 0.5399
Epoch 5 Step 401 Train Loss: 0.5626
Epoch 5 Step 451 Train Loss: 0.5333
Epoch 5 Step 501 Train Loss: 0.6201
Epoch 5 Step 551 Train Loss: 0.6583
Epoch 5 Step 601 Train Loss: 0.6203
Epoch 5 Step 651 Train Loss: 0.6722
Epoch 5 Step 701 Train Loss: 0.6585
Epoch 5 Step 751 Train Loss: 0.5416
Epoch 5 Step 801 Train Loss: 0.5258
Epoch 5 Step 851 Train Loss: 0.5899
Epoch 5 Step 901 Train Loss: 0.6060
Epoch 5 Step 951 Train Loss: 0.5335
Epoch 5 Step 1001 Train Loss: 0.5543
Epoch 5 Step 1051 Train Loss: 0.5819
Epoch 5 Step 1101 Train Loss: 0.5993
Epoch 5 Step 1151 Train Loss: 0.6029
Epoch 5 Step 1201 Train Loss: 0.6037
Epoch 5 Step 1251 Train Loss: 0.5412
Epoch 5 Step 1301 Train Loss: 0.5222
Epoch 5 Step 1351 Train Loss: 0.5074
Epoch 5 Step 1401 Train Loss: 0.5650
Epoch 5 Step 1451 Train Loss: 0.6001
Epoch 5 Step 1501 Train Loss: 0.5715
Epoch 5 Step 1551 Train Loss: 0.5422
Epoch 5 Step 1601 Train Loss: 0.5521
Epoch 5 Step 1651 Train Loss: 0.5274
Epoch 5 Step 1701 Train Loss: 0.5527
Epoch 5 Step 1751 Train Loss: 0.6041
Epoch 5 Step 1801 Train Loss: 0.6110
Epoch 5 Step 1851 Train Loss: 0.5772
Epoch 5 Step 1901 Train Loss: 0.5646
Epoch 5 Step 1951 Train Loss: 0.5383
Epoch 5 Step 2001 Train Loss: 0.5578
Epoch 5 Step 2051 Train Loss: 0.5420
Epoch 5 Step 2101 Train Loss: 0.5907
Epoch 5 Step 2151 Train Loss: 0.5889
Epoch 5 Step 2201 Train Loss: 0.6202
Epoch 5 Step 2251 Train Loss: 0.5888
Epoch 5 Step 2301 Train Loss: 0.5969
Epoch 5 Step 2351 Train Loss: 0.5738
Epoch 5 Step 2401 Train Loss: 0.5946
Epoch 5 Step 2451 Train Loss: 0.5554
Epoch 5 Step 2501 Train Loss: 0.5802
Epoch 5 Step 2551 Train Loss: 0.5941
Epoch 5 Step 2601 Train Loss: 0.5383
Epoch 5 Step 2651 Train Loss: 0.5915
Epoch 5 Step 2701 Train Loss: 0.6373
Epoch 5 Step 2751 Train Loss: 0.5988
Epoch 5 Step 2801 Train Loss: 0.6079
Epoch 5 Step 2851 Train Loss: 0.5989
Epoch 5 Step 2901 Train Loss: 0.5893
Epoch 5 Step 2951 Train Loss: 0.5661
Epoch 5 Step 3001 Train Loss: 0.5063
Epoch 5 Step 3051 Train Loss: 0.6112
Epoch 5 Step 3101 Train Loss: 0.6119
Epoch 5 Step 3151 Train Loss: 0.6400
Epoch 5 Step 3201 Train Loss: 0.6064
Epoch 5 Step 3251 Train Loss: 0.5792
Epoch 5 Step 3301 Train Loss: 0.5810
Epoch 5 Step 3351 Train Loss: 0.5187
Epoch 5 Step 3401 Train Loss: 0.5823
Epoch 5 Step 3451 Train Loss: 0.5407
Epoch 5 Step 3501 Train Loss: 0.6346
Epoch 5: Train Overall MSE: 0.0063 Validation Overall MSE: 0.0082. 
Train Top 20 DE MSE: 0.0711 Validation Top 20 DE MSE: 0.1433. 
Done!
Start Testing...
Best performing model: Test Top 20 DE MSE: 0.1241
